custom_position,city_vac,offer_education_id,operating_schedule_id,offer_experience_year_count,description,profession,salary
"Монтажник металлоконструкций, сварщик",Нижний Новгород,,Полный день,От 1 года до 3 лет,"требования: опыт работы с ручным инструментом умение читать чертежи, сообразительность опыт сварки (черная сталь, нержавейка) обязателен (полуавтомат, электрод, tig) порядочность, честность, чувство юмора, умение ладить с коллективом условия: устройство по тк рф либо возможна работа по договору в том числе с ип и самозанятыми на постоянной основе оклад работа в закрытом цехе с оборудованной теплой ремзоной, отдельной комнатой переодевания и приема пищи командировка возможны, но очень редко. компенсация командировочных расходов полугодовые и годовые премии, корпоративные мероприятия дружный молодой коллектив возможность карьерного роста страховка мобильная связь спецодежда полный оплачиваемый отпуск",сварщик,
Электрогазосварщик,посёлок Новоангарск,,Вахтовый метод,От 1 года до 3 лет,"требования: среднее специальное образование. удостоверение &quot;электрогазосварщик&quot;. профильный опыт работы не менее одного года. умение производить сварку в любом пространственном положении, выполнять резку металла. умение читать чертежи приветствуется. условия: рабочее место: мотыгинский район, п. новоангарск. вахтовый метод работы 1/1. доставка служебным транспортом от пункта сбора до места работы и обратно (пункт сбора г. красноярск). официальное трудоустройство. полный соц. пакет, стабильная заработная плата. ежегодный оплачиваемый отпуск. проживание в общежитии. выдается спецодежда.",сварщик,105750.0
Электросварщик МП + МПГ,,,Полный день,От 1 года до 3 лет,"требования: опыт работы сварщиком от 3 лет наличие удостоверения электросварщика не ниже 4 разряда наличие накс знание и соблюдение техники безопасности и инструкции по охране труда. умение работать с тех.картами. заваривание контрольных образцов на территории завода заказчика условия: работа в стабильной развивающейся компании заработная плата 2 раза в месяц, без задержек. официальное оформление по тк рф (полный соц. пакет) вахтовый метод работы 3/1 месяц график работы 6/1 бесплатный проезд до объекта и обратно вахтовая надбавка на питание - суточные. спецодежда и сиз предоставляется работодателем бесплатно.",сварщик,185800.0
Электрогазосварщик МК (НАКС СК),,,Вахтовый метод,От 1 года до 3 лет,"требованиями безопасности при выполнении данной работы. подборка инструментов, оборудования и материалов, необходимых для выполнения задания, полученного от мастера на смену. ручная дуговая сварка сложных аппаратов, узлов, конструкций. ручная дуговая сварка сложных строительных конструкций, работающих в сложных условиях. сварка сложных конструкций в блочном исполнении во всех пространственных положениях сварного шва. наплавление дефектов различных деталей машин, механизмов и конструкций. наплавление сложных деталей и узлов. при необходимости выполнение работ, предусмотренных рабочими инструкциями электрогазосварщика ручной сварки более низкой квалификации. уборка рабочего места, приспособлений, инструментов, а также содержание их в надлежащем состоянии. требования: - профессиональное обучение по программам профессиональной подготовки, переподготовки повышения квалификации по профессии соответствующей направленности (профилю) по сварочному производству. - действующий накс (ск), удостоверение, диплом сварщика не ниже 4 разряда. условия: - вахтовый метод работы 3 мес./1 мес.; - оформление согласно тк рф; - полностью официальную заработную плату; - оплачиваемый проезд/перелет до места работы и на межвахтовый отдых; - организованное проживание в вахтовом городке на объекте или в ближайшем населенном пункте; - трехразовое питание в столовой;",сварщик,
"Электрогазосварщик (НАКС СК 1, 2, 3, НГДО 1,2,3,4,16)",,,Вахтовый метод,От 3 до 6 лет,"требования: квалификационное удостоверение электрогазосварщика, накс. опыт работы не менее 3-х лет за последнее время официально подтвержденный трудовой книжкой разряд 5,6 условия: гарантированная заработная плата 5 р - от 132000 до 150000 с ндфл, 6 р - от 157000 до 174000 с ндфл, оформление по тк рф, ежегодный оплачиваемый отпуск вахтовый метод работы 35 дней работы через 35 дней отдыха; оплачиваемая обсервация от 4 до 14 дней в гостинице в иркутске, компенсация проезда в размере установленных лимитов, вахтовая надбавка на питание, бесплатное проживание в комфортном вахтовом поселке ( комнаты в теплых и обслуживаемых модулях, уютная столовая с разнообразным меню, спортзал, спутниковое тв, wi-fi, магазин), полное обеспечение спец. одеждой; постоянная занятость в современной, стабильной, нефтегазовой компании; профессиональное обучение и повышение квалификации, возможность самореализации и развития, карьерный рост внутри компании; высокие стандарты безопасности труда и культуры производства, современное оборудование и технологии",сварщик,153000.0
Электрогазосварщик,Москва,,Полный день,От 1 года до 3 лет,"требования: среднее профессиональное образование опыт работы 1-3 года наличие удостоверения электрогазосварщик 4 или 5 разряда условия: заработная плата официальная выплаты производятся 2 раза в месяц без задержек оформление согласно тк рф оплачиваемый отпуск, больничный дмс (включая стоматологию) корпоративное обучение мероприятия для детей, начинающих специалистов собственные поликлиника, бассейн, спортзал. подарки детям к новому году, путевки в летние лагеря отдыха",сварщик,
Электросварщик на полуавтомат,посёлок городского типа Зауральский,,Полный день,От 1 года до 3 лет,"требования: наличие диплома сварщика; дополнительное образование газорезчика приветствуется; опыт работы с металлоконструкциями; навык сварки узлов с полным проваром; желание осваивать новое оборудование в работе. условия: официальное трудоустройство; рабочее место: поселок зауральский, ул.труда, 1а; доставка служебный транспортом из г. челябинска; заработная плата: сдельная, подробнее на собеседовании; график работы: посменный 2/2 по 12 часов.",сварщик,55000.0
Электросварщик на автоматических и полуавтоматических машинах,,,Сменный график,От 1 года до 3 лет,"требования: действующее удостоверение электрогазосварщика не ниже 3 разряда отсутствие медицинских противопоказаний к выполнению работ условия: трудоустройство в штат обучение производственному процессу дмс, компенсация занятий спортом в рамках корпоративного лимита сменный график работы компенсация питания корпоративная развозка дополнительный отпуск 7 дней компенсация за молоко доплата 4% за вредность",сварщик,62500.0
Электрогазосварщик (4-5 разряд),Новосибирск,,Полный день,От 3 до 6 лет,"требования: электрогазосварщик должен знать: - устройство и принцип действия обслуживаемых электросварочных машин и аппаратов; -правила пользования применяемыми горелками,редукторами,баллонами; -формы разделки шва под сварку; правила обеспечения защиты при сварке в защитном газе; -виды сварочных соединений и типы швов; -типы разделок и обозначение сварочных швов на чертежах; - характеристику газового пламени; условия: трудоустройство согласно тк рф, соцпакет, заработная плата +премия",сварщик,
Электрогазосварщик НАКС,,,Вахтовый метод,От 3 до 6 лет,"требования: - удостоверение накс i- ск п.1,2,3 наличие диплома о среднем профессиональном образовании по специальности или квалификационного удостоверения установленного образца; — квалификация 4 -6 разряд; — опыт работы по требуемой профессии от 3-х лет; — знание правил техники безопасности при работе; — отсутствие медицинских противопоказаний для работы вахтовым методом в условиях крайнего севера. условия: работа в условия крайнего севера (республика саха (якутия), вахтовый метод работы 3 месяца - работы, 1,5 месяца — отдыха; прохождение медицинского осмотра за счет работодателя, для работников бесплатно; проживание в вахтовом поселке в благоустроенном общежитии (расходы на проживание из заработной платы работника не удерживается); инфраструктура (буфет, баня, прачечная, уютная столовая, медпункт, wi-fi); бесплатное трехразовое питание; доставка на участок/с участка за счет организации; полный социальный пакет (официальное трудоустройство, предоставление дополнительных отпусков и надбавок за работу во вредных условиях, в районах, приравненных к крайнему северу (северный стаж); рабочий день нормированный 10,5 часов (7 дней в неделю); спецодежда выдается согласно утвержденным нормам расхода и соответствует требованиям охраны труда и промышленной безопасности.",сварщик,110000.0
Электрогазосварщик,,,Полный день,От 1 года до 3 лет,требования: опыт работы знать причины появления дефектов на металле и уметь избавляться от них; уметь накладывать вертикальный шов. условия: командировки по кировской области,сварщик,42500.0
Монтажник сантехнических систем/сварщик,Москва,,Полный день,От 1 года до 3 лет,"требования: - опыт работы в должности от 1 года; - опыт работы по монтажу внутренних инженерных систем, вк, холодоснабжения, теплоснабжения, отопления, апт; - умение работать с проектной документацией; - аккуратность; - умение работать в команде; - желание обучаться; - дополнительные навыки в смежных областях (электрика и вентиляция) являются преимуществом и дополнительно поощряются; - отсутствие медицинских противопоказаний; - умение выполнять свою работу хорошо. условия: - заработная плата от 70 000 рублей; - работа в москве и московской области; - карьерный рост; - график работы (5/2 пн-пт) с 9:00 до 18:00; - обеспечивается спецодежда и средства индивидуальной защиты. обязанности: - монтаж систем вк, холодоснабжения, теплоснабжения, отопления, апт на объектах различного назначения. запишитесь на собеседование и присоединяйтесь к нашей сплоченной команде!",сварщик,85000.0
Электрогазосварщик,Красноярск,,Полный день,От 1 года до 3 лет,"требования: опыт работы по специальности. качественная и быстрая сварка швов электро и газосваркой чтение чертежей владение электроинструментом условия: в соответствии с трудовым кодексом рф, полная занятость, вахтовый график работы. объект находится в иркутской обл (тайшетский алюминиевый завод) проживание и питание за счет работодателя",сварщик,90000.0
Электрогазосварщик,Пущино,,Полный день,Нет опыта,"требования: начальное профессиональное образование по специальности &quot;сварщик&quot;, опыт работы приветствуется условия: работа на территории работодателя трудоустройство в соответствии с тк рф полная занятость обучение график работы 5/2 с 8 до17 испытательный срок - 3 мес.",сварщик,23000.0
Электрогазосварщик,,,Полный день,От 1 года до 3 лет,требования: опыт работы от 1 года среднее специальное образование условия: пятидневная рабочая неделя работа в сборочном цехе,сварщик,55000.0
Электрогазосварщик (с. Борское),,,Полный день,От 1 года до 3 лет,"требования: образование: среднее техническое/ среднее профессиональное; ответственность, стрессоустойчивость, честность, вежливость, коммуникабельность; опыт работы. условия: официальное трудоустройство согласно тк рф; 40-часовая рабочая неделя; своевременная и стабильная выплата заработной платы. при необходимости предоставляется место проживания в борском р-не.",сварщик,30000.0
Электрогазосварщик МК (НАКС СК),,,Вахтовый метод,От 1 года до 3 лет,"требованиями безопасности при выполнении данной работы. подборка инструментов, оборудования и материалов, необходимых для выполнения задания, полученного от мастера на смену. ручная дуговая сварка сложных аппаратов, узлов, конструкций. ручная дуговая сварка сложных строительных конструкций, работающих в сложных условиях. сварка сложных конструкций в блочном исполнении во всех пространственных положениях сварного шва. наплавление дефектов различных деталей машин, механизмов и конструкций. наплавление сложных деталей и узлов. при необходимости выполнение работ, предусмотренных рабочими инструкциями электрогазосварщика ручной сварки более низкой квалификации. уборка рабочего места, приспособлений, инструментов, а также содержание их в надлежащем состоянии. требования: - профессиональное обучение по программам профессиональной подготовки, переподготовки повышения квалификации по профессии соответствующей направленности (профилю) по сварочному производству. - действующий накс (ск), удостоверение, диплом сварщика не ниже 4 разряда. условия: - вахтовый метод работы 3 мес./1 мес.; - оформление согласно тк рф; - полностью официальную заработную плату; - оплачиваемый проезд/перелет до места работы и на межвахтовый отдых; - организованное проживание в вахтовом городке на объекте или в ближайшем населенном пункте; - трехразовое питание в столовой;",сварщик,
Электрогазосварщик (ЮЗАО),Москва,,Полный день,От 1 года до 3 лет,"требования: вы готовы исправно следить и ухаживать за домом, как за своим собственным вы стрессоустойчивы и умеете находить общий язык с любым человеком у вас активная жизненная позиция условия: официальное трудоустройство в крупнейшей управляющей компании россии место работы: г. москва график работы: 2/2 уровень заработной платы: 46 000 рублей gross % от заявок ждём ваше резюме!",сварщик,
Электросварщик ручной дуговой сварки,,,Полный день,От 1 года до 3 лет,"требования: образование – не ниже основного общего; стаж работы в аналогичной должности от 1 года; трудолюбие, ответственность, обучаемость. условия: место работы: брусянский щебеночный карьер, свердловская обл., белоярский район, село большебрусянское, ул. карьерная, 1. стабильная выплата заработной платы (выплата заработной платы 2 раза в месяц); график работы: 5/2, возможна вахта",сварщик,50000.0
Электрогазосварщик,,,Полный день,От 1 года до 3 лет,"требования: образование по специальности опыт работы от 1 года условия: соц.пакет, трудовой договор, льготная пенсия выплата зар.платы- 2 раза в месяц",сварщик,
Электрогазосварщик,Верхняя Пышма,образование средне-специальное – электрогазосварщик не ниже 3-го разряда;,Полный день,От 3 до 6 лет,"требования: образование средне-специальное – электрогазосварщик не ниже 3-го разряда; стаж 3 - 5 лет; наличие аттестации накс желательно, но не обязательно!; опыт работы на сварке полуавтомат; умение читать конструкторскую документацию, знать требования к сварным швам. условия: официальное трудоустройство; официальная заработная плата без задержек; график работы: ежедневно с 8.00 до 19.00; основное место работы расположено по адресу: г.верхняя пышма, ул.огнеупорщиков 23д.",сварщик,45000.0
Электрогазосварщик,,,Сменный график,От 1 года до 3 лет,"требования: ???????опыт работы обязателен. наличие удостоверения (диплом, курсы и т.д.) условия: ? ???????график работы 2 дня в день\ 2 дня в ночь\ 2 дня выходных с 06:30 до 18:30 и с 18:30 до 06:30. зарплата 45 000 в месяц. рабочее место находится на автодорожной 6.",сварщик,
Электрогазосварщик,село Окино-Ключи,,Полный день,От 1 года до 3 лет,"требования: опыт работы от 1 года умение варить полуавтоматом и аргоном условия: трудоустройство согласно тк рф работа в бичурском районе, с. окино-ключи график работы: сменный 20/10 проживание в общежитии бесплатное питание в столовой",сварщик,
Электрогазосварщик МК (НАКС СК),,,Вахтовый метод,От 1 года до 3 лет,"требованиями безопасности при выполнении данной работы. подборка инструментов, оборудования и материалов, необходимых для выполнения задания, полученного от мастера на смену. ручная дуговая сварка сложных аппаратов, узлов, конструкций. ручная дуговая сварка сложных строительных конструкций, работающих в сложных условиях. сварка сложных конструкций в блочном исполнении во всех пространственных положениях сварного шва. наплавление дефектов различных деталей машин, механизмов и конструкций. наплавление сложных деталей и узлов. при необходимости выполнение работ, предусмотренных рабочими инструкциями электрогазосварщика ручной сварки более низкой квалификации. уборка рабочего места, приспособлений, инструментов, а также содержание их в надлежащем состоянии. требования: - профессиональное обучение по программам профессиональной подготовки, переподготовки повышения квалификации по профессии соответствующей направленности (профилю) по сварочному производству. - действующий накс (ск), удостоверение, диплом сварщика не ниже 4 разряда. условия: - вахтовый метод работы 3 мес./1 мес.; - оформление согласно тк рф; - полностью официальную заработную плату; - оплачиваемый проезд/перелет до места работы и на межвахтовый отдых; - организованное проживание в вахтовом городке на объекте или в ближайшем населенном пункте; - трехразовое питание в столовой;",сварщик,
Электрогазосварщик на автоматических и полуавтоматических машинах,Верхняя Пышма,,Полный день,От 1 года до 3 лет,"требования: сертификат накс будет большим преимуществом и поводом для увеличения з/п; разряд не ниже 4; рассматриваем специалистов без опыта работы; электрические схемы и конструкции различных типов сварочных полуавтоматов; механические и технологические свойства свариваемых металлов; технологическую последовательность наложения швов и режим сварки; виды дефектов в сварных швах, причины их возникновения и методы устранения; способы контроля и испытания ответственных сварных швов. условия: официальное трудоустройство, полный соц. пакет график работы 5/2 з/п от 40 000 руб.",сварщик,80000.0
Электрогазосварщик (4 разряд),,,Полный день,От 1 года до 3 лет,"требованиям обращайтесь, пожалуйста, напрямую в отдел кадров ао &quot;нсрз&quot;. проезд: любой транспорт на шесхарис, остановка &quot;новорэс&quot; (у танка). при этом личное собеседование не гарантирует прием на вакантную должность. обязанности: ручная дуговая, плазменная и газовая сварка средней сложности деталей, узлов, конструкций и трубопроводов из конструкционных сталей, требования: среднее специальное образование опыт работы от 1,5 года условия: режим работы: пятидневка (8-ми часовой рабочий день) с двумя выходными. все социальные гарантии, омс, дмс, зарплата вовремя. вахтовый автобус",сварщик,34497.0
Электрогазосварщик 5 разряд,Мурманск,,Полный день,От 3 до 6 лет,"требования: - опыт работы с металлоконструкциями, - опыт работы на полуавтомате условия: соц.пакет, оформление по тк. производство находится по адресу: г.мурманск, ул.промышленная, (предпоследняя остановка автобуса №27, маршрутного такси №57).",сварщик,
Электросварщик/монтажник систем отопления водоснабжения,Вологда,,Полный день,От 3 до 6 лет,"Обязанности: Монтаж систем отопления, водоснабжения. Требов ания: Знание и опыт работ в монтаже систем отопления, водоснабжения. Чтение проектов и чертежей Электросварка стальных трубопроводов. Сварка полипропиленовый труб. Условия: Своевременная выплата зарплаты Стабильная и постоянная работа Официальное оформление Спецодежда",сварщик,65000.0
Электрогазосварщик на полуавтомат,Пермь,,Полный день,От 3 до 6 лет,"требования: опыт работы сварщиком от 5 лет. знание технологии сварки. профильное образование, наличие корочек сварщика обязательно. опыт работы на полуавтомате. опыт работы на производственном предприятии. знание технологических особенностей сварки различного проката. исполнительность, ответственность. желание развиваться и занимать руководящие должности на производстве - приветствуются. условия: официальная работа в соответствии с тк рф в стабильной и надёжной компании. высокая белая з.п. (2 раза в месяц) график работы 5/2, режим работы с 8.00 до 17.00 работа в цехе на ул. промышленная 125. предоставляется спецодежда и спецобувь, сиз. раздевалка, чистая уборная и душ. комната отдыха.",сварщик,57500.0
Слесарь-сварщик,Калининград,,Полный день,Нет опыта,"Обязанности: Автоматическая и механизированная сварка простых узлов, деталей и конструкций из углеродистых и конструкционных сталей. Прихватка деталей, изделий, конструкций во всех пространственных положениях полуавтоматами. Подготовка металла для сварки. Наплавление дефектов деталей и отливок. Зачистка деталей и изделий под автоматическую и механизированную сварку. Установка деталей и изделий в приспособления.",сварщик,
Главный сварщик,Новороссийск,,Полный день,Нет опыта,"требования: наличии высшего образования или среднего профессионального образования по иным техническим специальностям опыт работы в области сварочного производства не менее одного года условия: работа в городе новороссийск, возможны выезды в командировку. оформление по тк рф",сварщик,
Электросварщик,Новосибирск,,Полный день,От 1 года до 3 лет,"требования: опыт работы от 1 года. условия: пятидневная рабочая неделя, с 8.00 до 17.00. официальное трудоустройство. соц.пакет. дополнительный отпуск. денежная компенсация за молоко. мы предлагаем: работу в стабильно-развивающейся; производственной компании; дружный коллектив; сдельная оплата труда; карьерный рост; служебный транспорт от пл.карла маркса;",сварщик,
Электрогазосварщик,Рязань,,Полный день,От 1 года до 3 лет,"требования: образовательные программы среднего профессионального образования — программы подготовки квалифицированных рабочих (служащих) опыт работы на производстве в аналогичных должностях удостоверение электрогазосварщика условия: оформление согласно тк рф льготный стаж (досрочное достижение пенсионных оснований, дополнительный оплачиваемый отпуск 14 дней, доплата за работу во вредных условиях) доставка до места работы служебным транспортом рабочий день: пн-чт 08.00-17.00, пт. 08.00-16.00, суб. воскр.-выходные",сварщик,29000.0
Электросварщик,,,Вахтовый метод,От 1 года до 3 лет,"требования: положительный результат собеседования, условия: продолжительность вахты: 60/30, 30/15, возможны иные варианты бесплатное проживание компенсация проезда возможно бесплатное питание",сварщик,80000.0
Электросварщик на МП,,,Полный день,От 1 года до 3 лет,требования: подтверждённый опыт работы от 2 лет; квалификационное удостоверение или диплом;,сварщик,
Электросварщик на автоматических и полуавтоматических машинах,Санкт-Петербург,,Полный день,От 1 года до 3 лет,"требования: ответственный подход к выполнению поставленного задания; обучаемость; опыт работы от 1-года; чтение чертежей на базовом уровне; умение работать с электроинструментом; умение работать в коллективе. условия: официальное трудоустройство по тк рф; оплачиваемый отпуск 28 календарных дней; льготный пенсионный стаж; доплата за вредные условия труда (4%); дополнительный отпуск за вредные условия труда 12 календарных дней; пятидневная рабочая неделя с 7-45 до 16-15 (выходные суббота, воскресенье); полное обеспечение спецодеждой и инструментом; работа в закрытом производственном цеху в пешей доступности (15 мин. от метро парк победы);",сварщик,61000.0
Электросварщик,Пермь,,Полный день,От 1 года до 3 лет,"- Выполнение сварки арматуры железобетонных конструкций. - Сборка и сварка ЖБК конструкций и закладных деталей под визуальный контроль. - Выполнение сварочных работ, прихватку элементов конструкций, дуговая резка простых деталей. - Дуговая сварка со средн",сварщик,39000.0
Электрогазосварщик (5 разряд),Санкт-Петербург,,Полный день,От 1 года до 3 лет,"требованиям конструкторской и производственно-технологической документации по сварке. требования: знание основных типов, конструктивных элементов, размеров сварных соединений и обозначение их на чертежах; знание правил подготовки кромок изделий под сварку; знание основных групп и марок свариваемых материалов; знание устройство сварочного и вспомогательного оборудования, назначение и условия работы контрольно-измерительных приборов, правила их эксплуатации и область применения; знание правил сборки элементов конструкции под свар; знание правил сборки элементов конструкции под сварку; знание видов и назначение сборочных, технологических приспособлений и оснастки; знание способов устранения дефектов сварных швов; отличное владение ручной, дуговой и газовой сваркой различной сложности аппаратов, деталей, узлов, конструкций и трубопроводов из различных сталей, предназначенных для работы под динамическими и вибрационными нагрузками и под давлением; чтение чертежей различной сложности сварных пространственных металлоконструкций. условия: работа на одном из крупнейших промышленных предприятий с многолетней историей развития производства; территориально - ст. м. &quot;кировский завод&quot; (3 мин пешком); оформление в соответствии с трудовым кодексом рф; добровольное медицинское страхование (в т.ч. стоматология); частичная компенсация питания в сети столовых на территории предприятия; компания обеспечивает полный социальный пакет и дополнительные; социальные гарантии и льготы (согласно &quot;кодексу кировца&quot;); возможность посещать спортивные секции и мероприятия на стадионе «кировец» (м.нарвская); широкие возможности для профессионального развития; график работы: 5-ти дневная рабочая неделя пн-чт с 8.00 до 16.45; пт с 8 до 15.30.",сварщик,70000.0
Электрогазосварщик,Волгоград,,Полный день,От 1 года до 3 лет,"В обязанности электрогазосварщика входит: Ручная дуговая, плазменная и газовая сварка различной сложности аппаратов, деталей, узлов, конструкций и трубопроводов из различных сталей, чугуна, цветных металлов и сплавов, предназначенных для работы под динамическими и вибрационными нагрузками и под давлением. Ручная дуговая и плазменная сварка строительных и технологических конструкций. Кислородная и плазменная прямолинейная и горизонтальная резка деталей из различных сталей, цветных металлов и сплавов по разметке вручную с разделкой кромок под сварку, в том числе с применением специальных флюсов из различных сталей и сплавов. Автоматическая и механическая сварка сложных аппаратов, узлов, конструкций и трубопроводов из различных сталей, цветных металлов и сплавов. Автоматическая сварка строительных и технологических конструкций, работающих под динамическими и вибрационными нагрузками. Механизированная сварка сложных строительных и технологических конструкций, работающих в тяжелых условиях. Сварка конструкций в блочном исполнении во всех пространственных положениях сварного шва. Сварка и наплавка трещин и раковин в тонкостенных изделиях и в изделиях с труднодоступными для сварки местами. Термообработка газовой горелкой сварных стыков после сварки. Чтение чертежей различной сложности сварных пространственных металлоконструкций. Подготовка газовых баллонов к работе. Обслуживание переносных газогенераторов. Механизированная сварка аппаратов, узлов, конструкций трубопроводов, строительных и технологических конструкций, работающих под динамическими и вибрационными нагрузками, при выполнении сварных швов в потолочном положении и на вертикальной плоскости. Сварка экспериментальных конструкций из металлов и сплавов с ограниченной свариваемостью.",сварщик,
